"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GippsNews: Building Community One Garden at a Time. https://t.co/C90C0zUCWQ",FALSE,0,NA,2016-11-13 09:56:13,FALSE,NA,"797739840510930944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marieeandstuar2",1,TRUE,FALSE,NA,NA
"RT @carmeytee: Super super excited about this! Get involved if you want to see the wonderful city of #Exeter get its own city farm &amp; commun‚Ä¶",FALSE,0,NA,2016-11-13 09:36:35,FALSE,NA,"797734896387129345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CHillArcadis",6,TRUE,FALSE,NA,NA
"VOTE VOTE VOTE for our community garden project in Tesco‚Äôs #BagsofHelp initiative in your local store Ends today‚Ä¶ https://t.co/SvH3P85DUO",FALSE,0,NA,2016-11-13 09:18:00,TRUE,NA,"797730220857929728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ENHertsCCG",0,FALSE,FALSE,NA,NA
"RT @NHSTayside: Beautiful new Leaf Room in Ninewells Community Garden opened today by @ShonaRobison @fcscotlandnews https://t.co/SkfspW52qU‚Ä¶",FALSE,0,NA,2016-11-13 09:04:36,FALSE,NA,"797726848843206656",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ShobnaV",17,TRUE,FALSE,NA,NA
"RT @cthodges9: Blessed to receive an offer from Garden City Community College! https://t.co/WAHuNELkh7",FALSE,0,NA,2016-11-13 08:56:00,FALSE,NA,"797724685056307200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kuffs632",7,TRUE,FALSE,NA,NA
"Military veteran starts organic backyard garden https://t.co/rbGUiH93NH https://t.co/4SScmccWhl",FALSE,0,NA,2016-11-13 08:50:35,FALSE,NA,"797723321240428544",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","dedouble",0,FALSE,FALSE,NA,NA
"Building Community One Garden at a Time. https://t.co/C90C0zUCWQ",FALSE,1,NA,2016-11-13 08:50:20,FALSE,NA,"797723259437514752",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GippsNews",1,FALSE,FALSE,NA,NA
"While my momo no longer has a veggie garden + animals, listening to their childhood stories of farming + community is vital for now.",FALSE,0,NA,2016-11-13 08:20:25,FALSE,NA,"797715727860006912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","lucyblou",0,FALSE,FALSE,NA,NA
"Through that door is the secret garden trampoline from Community and a white supremacist gardener who just got a pa‚Ä¶ https://t.co/V3z4800JNc",FALSE,0,NA,2016-11-13 08:10:15,TRUE,NA,"797713171729575937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeteRogers",0,FALSE,FALSE,NA,NA
"@EmmausMersey needs you! They‚Äôre creating a new garden space ‚Äì but they need your vote for extra funding! https://t.co/s1o5NoCCZy",FALSE,0,"EmmausMersey",2016-11-13 08:00:43,FALSE,NA,"797710770805100544","2903622046","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SpecifiDay",0,FALSE,FALSE,NA,NA
"Today is the FINAL DAY TO VOTE for our community garden project in #Gateshead Tescos! We can win up to ¬£12,000 in t‚Ä¶ https://t.co/9bLbEsStD9",FALSE,1,NA,2016-11-13 07:46:14,TRUE,NA,"797707126235951104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","GatesheadOPA",0,FALSE,FALSE,NA,NA
"RT @StRichardsHosp: Please remember to vote for our green fingers garden project in #Tescobagsofhelp Worcester stores #community https://t.‚Ä¶",FALSE,0,NA,2016-11-13 07:42:04,FALSE,NA,"797706079811600384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","youthcommradio",3,TRUE,FALSE,NA,NA
"Abbey Physic Community Garden https://t.co/PoHXI04tyt",FALSE,0,NA,2016-11-13 07:36:18,FALSE,NA,"797704627370229761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FavershamLife",0,FALSE,FALSE,NA,NA
"Tools/Lawn &amp; Garden Sales PT ($8-14 Earnings Potential) LINCOLN, NE #lincoln #jobs https://t.co/rOj1h5ytMp",FALSE,0,NA,2016-11-13 06:27:02,FALSE,NA,"797687197793030144",NA,"<a href=""https://community-scene.com"" rel=""nofollow"">Community Scene</a>","community_scene",0,FALSE,FALSE,NA,NA
"Brownwood Area Community Garden https://t.co/Gv0WZqCwhk",FALSE,0,NA,2016-11-13 05:26:51,FALSE,NA,"797672050890567681",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","squared_steve",0,FALSE,FALSE,NA,NA
"RT @MinamGarcia: My friends and I volunteered at the community garden this morning! I love these people to death! #GMG #UPCommunity Ì†ΩÌ≤ö https‚Ä¶",FALSE,0,NA,2016-11-13 05:01:18,FALSE,NA,"797665619130851328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glostinstereo",3,TRUE,FALSE,NA,NA
"Today's harvest from the Cape community garden, donated to the community meal in Wonthaggi  - 1.5 kg chives, 50... https://t.co/RQYVvagK3q",FALSE,0,NA,2016-11-13 04:42:02,FALSE,NA,"797660770783924225",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LiveAtTheCape",0,FALSE,FALSE,NA,NA
"RT @abc13houston: Veterans come together to build community garden and library in Houston: https://t.co/tmBASS07Rr  #HouNews https://t.co/s‚Ä¶",FALSE,0,NA,2016-11-13 04:34:21,FALSE,NA,"797658839134961664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chrises77o7",5,TRUE,FALSE,NA,NA
"RT @abc13houston: Veterans come together to build community garden and library in Houston: https://t.co/tmBASS07Rr  #HouNews https://t.co/s‚Ä¶",FALSE,0,NA,2016-11-13 04:34:13,FALSE,NA,"797658802749394944",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","WorldwideHerald",5,TRUE,FALSE,NA,NA
"RT @abc13houston: Veterans come together to build community garden and library in Houston: https://t.co/tmBASS07Rr  #HouNews https://t.co/s‚Ä¶",FALSE,0,NA,2016-11-13 04:33:38,FALSE,NA,"797658659232825345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pearly2004",5,TRUE,FALSE,NA,NA
"Veterans come together to build community garden and library in Houston: https://t.co/tmBASS07Rr  #HouNews https://t.co/sWyjRNKkCH",FALSE,11,NA,2016-11-13 04:30:00,FALSE,NA,"797657745377951744",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","abc13houston",5,FALSE,FALSE,NA,NA
"RT @Sierra_Magazine: Hope Community Farm is an urban garden in the Iroquois neighborhood of Louisville supporting resettled refugees. https‚Ä¶",FALSE,0,NA,2016-11-13 04:08:24,FALSE,NA,"797652308813344768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Earthducation",4,TRUE,FALSE,NA,NA
"Two acres can be hard to homestead on, but Kristy and her community have turned pavement into garden https://t.co/2HKR0DJ4V8",FALSE,0,NA,2016-11-13 04:00:20,FALSE,NA,"797650278187143169",NA,"<a href=""http://pinterest.com"" rel=""nofollow"">Pinterest</a>","TheBrokeDadBlog",0,FALSE,FALSE,NA,NA
"I'm at Jessie Brock Community Center in Winter Garden, FL https://t.co/uajPVQjgiJ",FALSE,0,NA,2016-11-13 03:38:36,FALSE,NA,"797644808391192576",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","bdbdbd",0,FALSE,FALSE,NA,NA
"11/13 free meal supplied by food not bombs of charleston
1pm at chicora place community garden (3107 n carolina ave)
north charleston, sc",FALSE,1,NA,2016-11-13 03:37:35,FALSE,NA,"797644550546276352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gothweeb",1,FALSE,FALSE,NA,NA
"Tradition of Preserving Food Lives On - Community - CAPPER&amp;amp;#39;s https://t.co/9xT6ic3xKy",FALSE,1,NA,2016-11-13 03:30:19,FALSE,NA,"797642723356459008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AridAcresHomest",0,FALSE,FALSE,NA,NA
"Bill Lee was a community partner for 31 years, overseeing Hing Hay Park and the Danny Wood Community Garden. https://t.co/cY1yRVNFkZ",FALSE,2,NA,2016-11-13 03:18:24,FALSE,NA,"797639725662158848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iExaminer",0,FALSE,FALSE,NA,NA
